Date,Day,is_Sunday,is_Monday,is_Tuesday,is_Wednesday,is_thrusday,is_Friday,is_Saturday,Liqour,Approx_ml_per_unit,Alcohol_unit,Remark,People_Accompanied,Family_Presence,sober_status
1/1/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/2/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/3/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
1/4/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
1/5/2014,1,1,0,0,0,0,0,0,Scotch,100,4,Home,0,1,0
1/6/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/7/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/8/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/9/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/10/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
1/11/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
1/12/2014,1,1,0,0,0,0,0,0,Scotch,60,2.4,Home,0,1,0
1/13/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/14/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/15/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/16/2014,5,0,0,0,0,1,0,0,Beer,330,1.6,Home,0,1,0
1/17/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
1/18/2014,7,0,0,0,0,0,0,1,Vodka,100,3.714285714,Home,0,1,0
1/19/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/20/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/21/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/22/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/23/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/24/2014,6,0,0,0,0,0,1,0,Wine,200,2.628571429,Home,0,1,0
1/25/2014,7,0,0,0,0,0,0,1,Wine,400,5.257142857,Home,0,1,0
1/26/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/27/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/28/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/29/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/30/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/31/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
2/1/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
2/2/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/3/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/4/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/5/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/6/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/7/2014,6,0,0,0,0,0,1,0,Wine,500,6.571428571,Party at Vasi's place,1,0,0
2/8/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
2/9/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/10/2014,2,0,1,0,0,0,0,0,"Tequila, Red Label",200,11,Party at Home,1,0,0
2/11/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/12/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/13/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/14/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
2/15/2014,7,0,0,0,0,0,0,1,Scotch,200,8,Home,0,1,0
2/16/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/17/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/18/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/19/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/20/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/21/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
2/22/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
2/23/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/24/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/25/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/26/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/27/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/28/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
3/1/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
3/2/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/3/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/4/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/5/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
3/6/2014,5,0,0,0,0,1,0,0,Beer,1320,6.4,Team Dinner,1,0,0
3/7/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
3/8/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
3/9/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/10/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/11/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/12/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
3/13/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
3/14/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
3/15/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
3/16/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/17/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/18/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/19/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
3/20/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
3/21/2014,6,0,0,0,0,0,1,0,Beer,1320,6.4,Gopi B'day Party,1,0,0
3/22/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
